event_label	onset	offset	filename
Blender	9.455238095238094	10.01142857142857	Y00pbt6aJV8Y_350.000_360.000.wav
Vacuum_cleaner	0.0	10.01142857142857	Y00pbt6aJV8Y_350.000_360.000.wav
Blender	0.0	0.7415873015873016	Y00pK0GMmE9s_70.000_80.000.wav
Blender	3.7079365079365076	10.01142857142857	Y00pK0GMmE9s_70.000_80.000.wav
Frying	0.0	10.01142857142857	Y02sD1KJeoGA_50.000_60.000.wav
Frying	7.972063492063492	10.01142857142857	Y0bjUq9XMMmQ_30.000_40.000.wav
Running_water	0.0	8.435555555555554	Y0bjUq9XMMmQ_30.000_40.000.wav
Running_water	8.62095238095238	8.713650793650793	Y0bjUq9XMMmQ_30.000_40.000.wav
Cat	0.6488888888888888	1.0196825396825395	Y0cH_NlhhMAs_30.000_40.000.wav
Cat	9.826031746031745	10.01142857142857	Y0cH_NlhhMAs_30.000_40.000.wav
Dog	1.761269841269841	5.561904761904762	Y0cH_NlhhMAs_30.000_40.000.wav
Frying	8.528253968253967	8.899047619047618	Y0eh_N-cmcuI_350.000_360.000.wav
Running_water	1.2977777777777777	7.508571428571428	Y0eh_N-cmcuI_350.000_360.000.wav
Speech	7.6939682539682535	10.01142857142857	Y0eh_N-cmcuI_350.000_360.000.wav
Cat	6.3034920634920635	7.137777777777777	Y0hAK5f1tDok_30.000_40.000.wav
Cat	9.826031746031745	10.01142857142857	Y0hAK5f1tDok_30.000_40.000.wav
Blender	6.581587301587301	9.733333333333333	Y0j-mPw3WpVw_10.000_20.000.wav
Electric_shaver_toothbrush	0.0	10.01142857142857	Y0j-mPw3WpVw_10.000_20.000.wav
Speech	1.0196825396825395	1.9466666666666665	Y0j-mPw3WpVw_10.000_20.000.wav
Blender	8.62095238095238	10.01142857142857	Y0kAaPH2wrvM_140.000_150.000.wav
Speech	1.8539682539682538	9.177142857142856	Y0kAaPH2wrvM_140.000_150.000.wav
Vacuum_cleaner	0.0	7.23047619047619	Y0kAaPH2wrvM_140.000_150.000.wav
Electric_shaver_toothbrush	0.0	0.9269841269841269	Y0KarxIguv18_180.000_190.000.wav
